Damn I miss Cebu City! Good morning Pinas!	[Pinas, [14.0,121.0], Cebu City, [10.0,124.0]]	[tp{Pinas}tp]	tp{Pinas[-3.666670083999634,-79.6500015258789]}tptp{Cebu City[10.316720008850098,123.89070892333984]}tp
"@ITFCbrooksy11 Is that where we are likely to go? Holland or Germany, maybe Norway?"	[Holland, [52.0,6.0], Germany, [51.0,10.0]]	[TP{Germany}TP, tp{Holland}tp, tp{Norway}tp, TP{Norway}TP, tp{Germany}tp]	tp{Holland[42.78752136230469,-86.10893249511719]}tp
"Spicy rnch & spicy rnch/gold rush mix boneless wings, spicy rnch fries, holy mac, 8oz rnch, to-go tea. Perfect end... http://t.co/PiS2Bvbv"	[]	[]	
@Mario_Lobatin eres increiblee!	[]	[]	
I just became the mayor of Ruang S-24 IST AKPRIND on @foursquare! http://t.co/zbqB3eaf	[]	[]	
I just became the mayor of El Peluca Sapbe y Asociados Inc. on @foursquare! http://t.co/jNvysc9D	[]	[]	
Just posted a photo @ Shibuya station http://t.co/x0U4XVMn	[Shibuya, [36.0,140.0], Shibuya Station, [36.0,140.0]]	[bd{Shibuya station}bd]	
@katielloader @katiebeansharpe where was my invite to touch slutpig's ladie wedge :/	[]	[]	
 finger in the air if you"	[]	[]	
Nobody texas me.	[texas, [32.0,-100.0]]	[]	
"Bowden, Meyer talk BCS Championship, party for troops: Coach Urban Meyer and former coach Bobby Bowden discuss the... http://t.co/gBSMCMjf"	[]	[]	
"@TomTheWanted hey Mr. Parker, you like me more than @JCats12 , right? :)"	[]	[tp{Parker}tp]	
@Kam_Bam_FDH ight bro. I see you. I got mine a while back	[]	[tp{bro}tp]	
"I'm at Mafiaoza's (Nashville, TN) w/ 8 others http://t.co/SYdGFVQD"	[Mafiaoza's, [36.0,-87.0], Nashville, [36.0,-87.0], TN, [36.0,-87.0]]	[tp{Nashville}tp]	tp{Nashville[36.165889739990234,-86.78443908691406]}tptp{TN[35.75035095214844,-86.2502670288086]}tp
yeeeeasssss! Mary went on on-demand and bought pitch perfect #yes #sohapy	[]	[tp{Mary}tp]	
@daviskierra4 @NaeHasNofilter lmaoo ' kie you a fool for that one	[]	[tp{kie}tp]	
"Supply Cha... - #Hartford , CT (http://t.co/KXkPEJcR) Get Supply Chain Management Jobs #SupplyChainManagement #jobs #job #GetAllJobs"	[Hartford, [42.0,-73.0], CT, [42.0,-73.0]]	[tp{Hartford}tp]	tp{Hartford[41.763710021972656,-72.68508911132812]}tptp{CT[41.66704177856445,-72.6664810180664]}tp
Happy Birthday to da homie @NewERA_OG	[]	[]	
@MarcAnthonyR17 I know t mac yao Carl landry Kyle lowry Luis Scola years were fun stupid injuries :/	[]	[tp{Kyle}tp, tp{yao}tp]	
What a twat that bloke's being! #oneborn	[]	[]	
"I'm drinking Baileys, don't ask me why."	[]	[]	
"@jaackiegaage it scary lol. You made me scared to like walk up to my house after getting out of the car, I have to sprint lol"	[]	[]	
"I'm at Medaryville, IN (Medaryville, IN) http://t.co/hYHikfNB"	[Medaryville, [41.0,-87.0], IN, [41.0,-86.0]]	[]	tp{IN[40.00032043457031,-86.2502670288086]}tp
Reading my mindddRT @tinarenee12: Things may not always go the way I want them to but I know that one day they will. Just gotta be patient..	[]	[]	
"Alliance Lockstore Chicago, IL New Lock Installation http://t.co/mQVwuITr Chicago Locks & Locksmiths #coupon"	[Chicago, [42.0,-88.0], IL, [41.0,-89.0]]	[tp{Chicago}tp]	tp{Chicago[41.85002899169922,-87.6500473022461]}tptp{IL[40.00032043457031,-89.2503662109375]}tp
"Flood Control Delaware, OH $50 off Emergency Service (offer http://t.co/zGQvrVYD Delaware Water Extraction & Damage Restoration #coupon"	[Delaware, [40.0,-83.0], OH, [41.0,-83.0]]	[tp{Delaware}tp]	tp{Delaware[40.29867172241211,-83.06796264648438]}tptp{OH[40.25033950805664,-83.00018310546875]}tp
"I'm at Animal Kingdom Park (Lake Buena Vista, FL) w/ 30 others [pic]: http://t.co/2L1CfXQu"	[Lake Buena Vista, [28.0,-82.0], FL, [29.0,-82.0]]	[bd{Animal Kingdom Park}bd, BD{Animal Kingdom Park}BD, tp{Buena Vista}tp]	tp{FL[28.750539779663086,-82.5000991821289]}tp
"""@aibal10 Extreno Excluvivo:QUIERO SUDAR @Avalanchafme) #DameFollow http://t.co/931UgCC0"""""""	[]	[]	
@Good2bSammie hey! What about it Green Eggs and Ham?	[]	[tp{Ham}tp]	
@MelKrol17 thanks Mel!!!!! :) on my way now	[]	[tp{Mel}tp]	
@OCDna have you ever gone out with a man who was?	[]	[]	
@BrandonWood00 @m2theatthew McDonald's all day	[]	[]	
                     #???7???2???"	[]	[]	
LOOK AT ME GIVE A SHIT.	[]	[]	
"I'm at Grand Central Terminal (New York, NY) w/ 38 others http://t.co/lCQMVhsq"	[Grand Central Station, [41.0,-74.0], New York, [41.0,-74.0], NY, [42.0,-76.0]]	[tp{York}tp, bd{Grand Central Terminal}bd]	tp{NY[43.00035095214844,-75.4999008178711]}tp
"Woah, all these broken hearts on that pole, man If pole dancing a art, you know I mean I'm fuckin artist I know... ????"	[]	[]	
@goblinoire HAHAH ugh such great authors di ba sila pwede gumawa rin para sa ibang otps hekgekehe	[]	[tp{para}tp, tp{sila}tp]	
"""Lmao!! Ei auntie RT @Naa_Achere: """"@Akua_B_Tinted: Lee min ho!!! I gat my eyes on u!!"""" Pls pls, he's mine. Go away"""	[]	[]	
"""""""Time to check the testicles"""" the five most dreaded words at any physical for a man @CauseWereGuys"""	[]	[]	
Opinion writer for @UDK_News"""	[]	[]	
Just posted a photo @ Novikov Restaurant & Bar http://t.co/rPwYLXIH	[Novikov Restaurant & Bar, [52.0,0.0]]	[bd{Novikov Restaurant}bd]	
"In 4th grade, it was Tokio Hotel."	[]	[bd{Tokio Hotel}bd]	
Local businesses enjoy boost from harsh winter weather: As employees for Circle City Outdoors gear up and get to... http://t.co/qvkfojoF	[Circle City Outdoors, [40.0,-86.0]]	[]	
.@geritaltamayo @karlishake (@ Cowboys Stadium w/ 5 others) http://t.co/1JVU2bdN	[Cowboys Stadium, [33.0,-87.0]]	[]	
Baltimore Behavioral Health CEO says nonprofit seeks fresh start in Chapt. 11: Baltimore Behavioral Health CEO Terry... http://t.co/8LRwZjOT	[Baltimore, [39.0,-77.0]]	[tp{Baltimore}tp]	tp{Baltimore[39.29037857055664,-76.61219024658203]}tp
"I'm at ISHTA Yoga UES (New York, United States) http://t.co/59Qs8e0t"	[ISHTA Yoga, [41.0,-74.0], New York, [42.0,-76.0]]	[tp{York}tp, tp{United States}tp]	
"""How to ask a girl on a date in 2013: """"Wanna watch Scandal next week?"""" Haha #Cheers2013"""	[]	[]	
@michelleykinss thanks boo ????????	[]	[tp{boo}tp]	
I only have 2 semesters of highschool to go. ????	[]	[]	
Bad start...give kobe the ball let him cook jason richardson a few times	[]	[tp{richardson}tp]	
@moooonface_ I think I lefted my ray bans at yours?	[]	[tp{ray}tp]	
@_Natalie1888 (Nobody's looking. Just stick it under your coat and walk out the shop) - Quoted from the Frankie Boyle book you got me. LOL!!	[]	[]	
"I'm at Almaden Expressway (San Jose, CA) http://t.co/z0L6rnOI"	[San Jose, [37.0,-122.0], CA, [37.0,-119.0]]	[TP{CA}TP, tp{San Jose}tp, TP{San Jose}TP, BD{Almaden Expressway}BD]	tp{San Jose[37.33938980102539,-121.89495849609375]}tptp{CA[37.250221252441406,-119.75125885009766]}tp
"@KDavis0121 You're gonna love this one, wait a sec #ohkayyy"	[]	[]	
Pa govenor sueing ncaa.. about fucking time.. the kids on the team were still in there dads sack when sandusky was doing his thing	[]	[tp{sandusky}tp]	
"As usual very quiet environment here - (@ RBI colony, kharghar) http://t.co/HSGgKpqo"	[Khargar, [19.0,73.0]]	[]	
"I'm at AMC Garden State 16 for Les Miserables (2012) (Paramus, NJ) w/ 16 others http://t.co/fi9KrzyV"	[AMC Garden State 16, [41.0,-74.0], Paramus, [41.0,-74.0], NJ, [40.0,-74.0]]	[BD{AMC Garden}BD, tp{Paramus}tp]	tp{Paramus[40.94453811645508,-74.0754165649414]}tptp{NJ[40.16706085205078,-74.49987030029297]}tp
A view from the coffee shop @ Pret A Manger http://t.co/AkXiUlPA	[Pret A Manger, [42.0,-88.0]]	[bd{the coffee shop}bd, tp{Manger}tp]	
